"","X.1","X","ID","Group","Group_affiliation","YOB","Age","Gender","Sex","IndividScore","Est_Score","Overconfidence","Group_Quiz_Score","Group_Bonus_Score","Nominated","mode_influential","initial_influential","mode_learn","initial_learn","aveP","aveD","meanP","meanD","aveInf","aveLik","sScore","GroupID","o_conf","ageS","OConfBIN"
"68",80,80,90,18,"Dyslexia Cornwall",1972,46,"F",1,30,20,-10,32,4,0,87,0,86,0,0.796296296296297,0.104166666666667,5.77777777777778,1.625,0.361111111111111,1,1.375,8,-5.49264705882353,-0.485294117647058,0
"69",81,81,91,19,"BioSoc Streatham G3",1999,19,"F",1,30,20,-10,30,3,0,0,0,0,0,0.567901234567901,0.0902777777777778,4.40740740740741,1.54166666666667,0.481481481481481,0.861111111111111,1.375,9,-5.49264705882353,-27.4852941176471,0
"70",82,82,92,19,"BioSoc Streatham G3",1998,20,"F",1,27,24,-3,30,3,1,0,0,0,0,0.82716049382716,0.361111111111111,5.96296296296296,3.16666666666667,0.666666666666667,1,-1.625,9,1.50735294117647,-26.4852941176471,0
"71",83,83,93,19,"BioSoc Streatham G3",1998,20,"F",1,27,15,-12,30,3,0,0,0,0,0,0.845679012345679,0.361111111111111,6.07407407407407,3.16666666666667,0.759259259259259,0.944444444444444,-1.625,9,-7.49264705882353,-26.4852941176471,0
"72",84,84,94,19,"BioSoc Streatham G3",1998,20,"F",1,27,9,-18,30,3,0,0,0,0,0,0.787037037037037,0.135416666666667,5.72222222222222,1.8125,0.680555555555556,0.958333333333333,-1.625,9,-13.4926470588235,-26.4852941176471,0
"73",85,85,95,19,"BioSoc Streatham G3",1999,19,"F",1,21,20,-1,30,3,0,0,0,0,0,0.864197530864197,0.333333333333333,6.18518518518519,3,0.666666666666667,0.944444444444444,-7.625,9,3.50735294117647,-27.4852941176471,0
"74",86,86,96,20,"Streatham Students G4",1998,20,"M",0,28,40,12,34,6,0,0,0,96,1,0.805555555555556,0.401041666666667,5.83333333333333,3.40625,0.75,0.9375,-0.625,11,16.5073529411765,-26.4852941176471,1
"75",87,87,97,20,"Streatham Students G4",1995,23,"F",1,33,20,-13,34,6,1,0,0,96,0,0.666666666666667,0.390625,5,3.34375,0.666666666666667,0.854166666666667,4.375,11,-8.49264705882353,-23.4852941176471,0
"76",88,88,98,20,"Streatham Students G4",1998,20,"F",1,28,20,-8,34,6,0,0,0,96,0,0.851851851851852,0.401041666666667,6.11111111111111,3.40625,0.791666666666667,0.958333333333333,-0.625,11,-3.49264705882353,-26.4852941176471,0
"77",89,89,99,20,"Streatham Students G4",1996,22,"F",1,28,28,0,34,6,0,0,0,96,0,0.782407407407407,0.307291666666667,5.69444444444444,2.84375,0.583333333333333,0.916666666666667,-0.625,11,4.50735294117647,-24.4852941176471,0
"78",90,90,100,20,"Streatham Students G4",1998,20,"F",1,23,15,-8,34,6,0,0,0,96,0,0.842592592592593,0.28125,6.05555555555556,2.6875,0.597222222222222,1,-5.625,11,-3.49264705882353,-26.4852941176471,0
"79",91,91,101,21,"Clarinet ChoirStreatham G5",1998,20,"F",1,23,22,-1,32,3,0,0,0,0,0,0.726851851851852,0.229166666666667,5.36111111111111,2.375,0.555555555555556,0.833333333333333,-5.625,12,3.50735294117647,-26.4852941176471,0
